"Time","BTC Total supply","BTC Market cap","ETH OKX Exchange address outflow","Number of OKC tokens","bitcoin:1KgeqstG8a19jNzUhRyVhwppMMJXp8id8L"
10/01/2009,0,,,,
10/02/2009,0,,,,
10/03/2009,0,,,,
10/04/2009,0,,,,
10/05/2009,0,,,,
10/06/2009,0,,,,
10/07/2009,0,,,,
10/08/2009,0,,,,
10/09/2009,0,,,,
10/10/2009,0,,,,
10/11/2009,0,,,,
10/12/2009,0,,,,
11/01/2009,0,,,,
11/02/2009,0,,,,
11/03/2009,0,,,,
11/04/2009,0,,,,
11/05/2009,0,,,,
11/06/2009,0,,,,
11/07/2009,0,,,,
11/08/2009,0,,,,
11/09/2009,0,,,,
11/10/2009,0,,,,
11/11/2009,0,,,,
11/12/2009,0,,,,
12/01/2009,0,,,,
12/02/2009,0,,,,
12/03/2009,0,,,,
12/04/2009,0,,,,
12/05/2009,0,,,,
12/06/2009,0,,,,
12/07/2009,0,,,,
12/08/2009,0,,,,
12/09/2009,0,,,,
12/10/2009,0,,,,
12/11/2009,0,,,,
12/12/2009,0,,,,
01/01/2010,0,,,,
01/02/2010,0,,,,
01/03/2010,0,,,,
01/04/2010,0,,,,
01/05/2010,0,,,,
01/06/2010,0,,,,
01/07/2010,0,,,,
01/08/2010,0,,,,
01/09/2010,0,,,,
01/10/2010,0,,,,
01/11/2010,0,,,,
01/12/2010,0,,,,
02/01/2010,0,,,,
02/02/2010,0,,,,
02/03/2010,0,,,,
02/04/2010,0,,,,
02/05/2010,0,,,,
02/06/2010,0,,,,
02/07/2010,0,,,,
02/08/2010,0,,,,
02/09/2010,0,,,,
02/10/2010,0,,,,
02/11/2010,0,,,,
02/12/2010,0,,,,
03/01/2010,0,,,,
03/02/2010,0,,,,
03/03/2010,0,,,,
03/04/2010,0,,,,
03/05/2010,0,,,,
03/06/2010,0,,,,
03/07/2010,0,,,,
03/08/2010,0,,,,
03/09/2010,0,,,,
03/10/2010,0,,,,
03/11/2010,0,,,,
03/12/2010,0,,,,
04/01/2010,0,,,,
04/02/2010,0,,,,
04/03/2010,0,,,,
04/04/2010,0,,,,
04/05/2010,0,,,,
04/06/2010,0,,,,
04/07/2010,0,,,,
04/08/2010,0,,,,
04/09/2010,0,,,,
04/10/2010,0,,,,
04/11/2010,0,,,,
04/12/2010,0,,,,
05/01/2010,0,,,,
05/02/2010,0,,,,
05/03/2010,0,,,,
05/04/2010,0,,,,
05/05/2010,0,,,,
05/06/2010,0,,,,
05/07/2010,0,,,,
05/08/2010,0,,,,
05/09/2010,0,,,,
05/10/2010,0,,,,
05/11/2010,0,,,,
05/12/2010,0,,,,
06/01/2010,0,,,,
07/01/2010,0,,,,
06/02/2010,0,,,,
07/02/2010,0,,,,
08/02/2010,216216,216216,,,
06/03/2010,0,,,,
07/03/2010,0,,,,
08/03/2010,209474.76,209474.76,,,
09/03/2010,243459.78,243459.78,,,
06/04/2010,0,,,,
07/04/2010,0,,,,
08/04/2010,221231.75,221231.75,,,
09/04/2010,240917.6,240917.6,,,
06/05/2010,0,,,,
07/05/2010,0,,,,
08/05/2010,225758.34,225758.34,,,
09/05/2010,241425.8,241425.8,,,
10/05/2010,263755.73,263755.73,,,
06/06/2010,0,,,,
07/06/2010,0,,,,
08/06/2010,214916.35,214916.35,,,
09/06/2010,241520.91,241520.91,,,
10/06/2010,281172.2,281172.2,,,
11/06/2010,1534029,1534029,,,
06/07/2010,0,,,,
07/07/2010,0,,,,
08/07/2010,222409.85,222409.85,,,
09/07/2010,241949,241949,,,
10/07/2010,357058.67,357058.67,,,
11/07/2010,1099575,1099575,,,
06/08/2010,0,,,,
07/08/2010,0,,,,
08/08/2010,259962.95,259962.95,,,
09/08/2010,240917.01,240917.01,,,
10/08/2010,395066.84,395066.84,,,
11/08/2010,952812,952812,,,
12/08/2010,928923.73,928923.73,,,
06/09/2010,0,,,,
07/09/2010,0,,,,
08/09/2010,257005,257005,,,
09/09/2010,244143.99,244143.99,,,
10/09/2010,407283.08,407283.08,,,
11/09/2010,1073942.35,1073942.35,,,
12/09/2010,987327.09,987327.09,,,
06/10/2010,0,,,,
07/10/2010,0,,,,
08/10/2010,246734.2,246734.2,,,
09/10/2010,252007.66,252007.66,,,
10/10/2010,401755,401755,,,
11/10/2010,1017034.82,1017034.82,,,
12/10/2010,1106244.6,1106244.6,,,
06/11/2010,0,,,,
07/11/2010,0,,,,
08/11/2010,258541.5,258541.5,,,
09/11/2010,244010.48,244010.48,,,
10/11/2010,402072.32,402072.32,,,
11/11/2010,1224990.09,1224990.09,,,
12/11/2010,1069387,1069387,,,
06/12/2010,0,,,,
07/12/2010,0,,,,
08/01/2010,215508,215508,,,
08/12/2010,238927.35,238927.35,,,
09/01/2010,245209.76,245209.76,,,
09/02/2010,236928.6,236928.6,,,
09/12/2010,247233.9,247233.9,,,
10/01/2010,255470.05,255470.05,,,
